ROS Measurement
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
120000.0
150000.0
7.61
6.23
2.57
8.16
67.0
38.0
0.5
1.0
55.0
85.0
10.0
65.0
2.8
1.0
